year_month,county,q_avgtempF,q_avghumid,GIS_ACRES,cumulative_acres
2008-07-01,Kern County,29.062211981566826,90.67281105990784,89.24692099999999,89.24692099999999
2008-07-01,Los Angeles County,42.46702508960573,62.71433691756272,51.12194303,51.12194303
2008-07-01,Mariposa County,67.30896057347671,46.58136200716846,35658.83486,35658.83486
2008-07-01,San Luis Obispo County,40.951843317972354,69.73502304147466,171.35752399999998,171.35752399999998
2008-07-01,Trinity County,39.11720430107527,68.20358422939067,31.177931,31.177931
2008-07-01,Yuba County,49.42043010752688,63.67347670250896,80.084793,80.084793
2008-08-01,Los Angeles County,60.02222222222222,49.03261648745521,301.60824289999994,352.73018592999995
2008-08-01,Napa County,67.39820788530466,44.73225806451614,348.149104,348.149104
2008-08-01,Riverside County,36.88817204301075,79.36594982078854,20.178473,20.178473
2008-08-01,San Luis Obispo County,35.24654377880184,66.9731182795699,40.250526,211.60805
2008-08-01,Siskiyou County,51.59354838709677,59.34372759856632,6067.5005,6067.5005
2008-08-01,Trinity County,62.93978494623656,49.92365591397851,249.729271,280.907202
2008-08-01,Yuba County,68.20143369175628,45.2068100358423,164.194421,244.27921400000002
2008-09-01,Kern County,55.90573476702508,43.77311827956991,56.534851,145.781772
2008-09-01,Los Angeles County,73.97025089605735,38.00788530465951,128.4776358,481.20782173
2008-09-01,Mariposa County,32.114439324116745,87.10983102918588,289.991866,35948.826726
2008-09-01,Siskiyou County,52.97388632872503,76.54224270353302,29.577476,6097.0779760000005
2008-09-01,Trinity County,72.21827956989249,38.28494623655916,3238.452045,3519.359247
2008-09-01,Yuba County,65.3863799283154,46.44408602150539,1595.925549,1840.2047630000002
2008-10-01,Los Angeles County,57.39677419354839,73.08351254480287,19384.3790402,19865.58686193
2008-10-01,Mariposa County,71.64623655913978,61.61935483870968,31.247882,35980.074608
2008-10-01,Napa County,80.35448028673835,50.22078853046596,233.10208,581.251184
2008-10-01,Trinity County,57.28172043010753,56.84121863799282,59.07655,3578.435797
2008-10-01,Ventura County,67.39175627240142,59.34014336917563,22.345585,22.345585
2008-10-01,Yuba County,69.54659498207884,54.29175627240144,49.575794,1889.7805570000003
